,nim,mori,mobs,sep,ein,fs,frac_sh_trunc,mmin,flag_out,zs,xs,ys,m_type_sh,zl_sh,mass_sh,xl_sh,yl_sh,elip_sh,pol_sh,param1_sh,m_type_sat,zl_sat,mass_sat,xl_sat,yl_sat,elip_sat,pol_sat,param1_sat,m_type_hh,zl_hh,mass_hh,xl_hh,yl_hh,elip_hh,pol_hh,param1_hh,m_type_cen,zl_cen,mass_cen,xl_cen,yl_cen,elip_cen,pol_cen,param1_cen,m_type_pert,zl_pert,mass_pert,xl_pert,yl_pert,elip_pert,pol_pert,param1_pert,vel_disp
6875,3.0,23.75,23.23101,1.855961,0.5339135,0.0,-1.0,23.1384,1.0,3.7,0.2729083,0.1882868,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.776,7205909000000.0,0.0,0.0,0.5272184,10.62585,4.178085,1.0,0.776,120825200000.0,0.0,0.0,0.679717,19.0418,0.1024014,2.0,0.776,3.7,0.0,0.0,0.1177002,-131.2398,0.0,228.39707316593902
6880,3.0,22.81,21.6278,0.6193742,0.2880098,0.0,-1.0,21.14923,3.0,2.5,0.04057993,-0.03505056,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.914,933386900000.0,0.0,0.0,0.2946927,-48.19561,5.741337,1.0,0.914,27232840000.0,0.0,0.0,0.3501978,-32.99559,0.04112576,2.0,0.914,2.5,0.0,0.0,0.04540916,-168.4229,0.0,165.51893594040968
6881,3.0,23.15,23.02138,0.2747515,0.125553,0.0,-1.0,22.46182,1.0,2.99,-0.05700471,0.05589443,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.645,245470900000.0,0.0,0.0,0.2933423,143.6187,8.546779,1.0,0.645,4876512000.0,0.0,0.0,0.1897425,140.2019,0.07961063,2.0,0.645,2.99,0.0,0.0,0.07599556,172.4667,0.0,63.16599183943942
6882,3.0,19.85,21.53542,0.4458944,0.2255959,0.0,-1.0,19.12781,1.0,1.61,-0.1393491,0.1093221,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.152,814806100000.0,0.0,0.0,0.2481573,-140.5294,6.895057,1.0,1.152,33588620000.0,0.0,0.0,0.2330578,-116.9529,0.03030495,2.0,1.152,1.61,0.0,0.0,0.03890442,50.17068,0.0,207.8736855864507
6884,3.0,20.65,19.94727,0.5905051,0.3175485,0.0,-1.0,19.3882,3.0,2.04,0.04590599,-0.05473181,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.704,794328200000.0,0.0,0.0,0.1630837,140.7643,5.569794,1.0,0.704,28364660000.0,0.0,0.0,0.2241134,129.232,0.09045779,2.0,0.704,2.04,0.0,0.0,0.09446381,-164.4776,0.0,122.53767985128147
6886,3.0,22.43,22.81631,1.574039,0.8943065,0.0,-1.0,21.5533,1.0,0.68,-0.2057786,-0.4037425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.332,3333280000000.0,0.0,0.0,0.2493469,176.039,10.46882,1.0,0.332,110633700000.0,0.0,0.0,0.3637765,251.8398,0.1788661,2.0,0.332,0.68,0.0,0.0,0.01446621,142.3912,0.0,212.84174771668688
6887,3.0,20.09,19.21061,4.696965,1.762752,0.0,-1.0,18.57834,3.0,2.21,-0.9193865,-0.216937,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.522,25970690000000.0,0.0,0.0,0.4703197,6.43942,9.05316,1.0,0.522,200694900000.0,0.0,0.0,0.0332908,22.55331,0.4558468,2.0,0.522,2.21,0.0,0.0,0.01813054,-2.366858,0.0,225.52988023485537
6892,3.0,20.49,21.25084,1.295638,0.5971925,0.0,-1.0,19.22887,3.0,2.97,0.3824059,-0.05796247,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.933,9776921000000.0,0.0,0.0,0.2680872,-76.50469,4.077646,1.0,0.933,80079530000.0,0.0,0.0,0.3611984,-140.5149,0.151968,2.0,0.933,2.97,0.0,0.0,0.05203244,26.5479,0.0,160.4135121031575
6895,3.0,22.51,22.57721,0.6686921,0.3759231,0.0,-1.0,22.10572,1.0,3.5,-0.02224589,0.2037286,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.907,1862547000000.0,0.0,0.0,0.1265825,-60.63907,3.024828,1.0,1.907,46593710000.0,0.0,0.0,0.4669936,-92.22508,0.06022103,2.0,1.907,3.5,0.0,0.0,0.1450899,91.18143,0.0,174.73302466480195
6896,3.0,21.91,19.23397,0.04829333,0.02761857,0.0,-1.0,18.2834,3.0,2.97,0.001713562,0.001735259,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.892,165577000000.0,0.0,0.0,0.1860454,104.9095,9.452913,1.0,0.892,1276851000.0,0.0,0.0,0.3582672,62.49957,0.110785,2.0,0.892,2.97,0.0,0.0,0.07149787,0.4832903,0.0,49.700681061324616
