,zl,m_h,m_acc,e_h,p_h,con,m_g,e_g,p_g,tb,vel_disp
258900,2.295,248885700000.0,0.0,0.185413,32.79055,4.100069,2302259000.0,0.3727617,46.79831,0.07562179,53.32709237012003
259000,2.307,131220000000.0,0.0,0.4351491,-139.5378,4.667543,442082400.0,0.5046694,-128.2515,0.06893743,40.58508107363504
259100,2.319,258821300000.0,0.0,0.4646741,-150.2347,2.842126,1977002000.0,0.4148847,-137.1455,0.1014298,47.69326270021794
259200,2.331,146554800000.0,0.0,0.3249814,-139.6829,3.895643,488420800.0,0.5012953,-113.7158,0.1459263,48.408643468330254
259300,2.343,179060600000.0,0.0,0.09091254,-37.65659,5.655875,774112200.0,0.2878562,-66.57738,0.08598932,52.08476552477759
259400,2.355,833681200000.0,0.0,0.1326721,-138.693,3.914591,13372780000.0,0.3803698,-167.9189,0.04666072,112.61339020678471
259500,2.367,189234400000.0,0.0,0.1244487,-23.23285,4.807572,1020680000.0,0.1258292,-22.75831,0.1776737,61.13765747426429
259600,2.379,208929600000.0,0.0,0.3766424,-69.45391,3.704056,910023700.0,0.4883035,-57.95647,0.1149944,48.77626728876931
259700,2.392,139636800000.0,0.0,0.2376201,91.54736,3.130863,448312100.0,0.2919674,80.6867,0.2473654,52.34368859545228
259800,2.404,245470900000.0,0.0,0.1743092,-11.81821,2.999387,1178225000.0,0.1015374,32.40923,0.07720758,43.40301532104879
259900,2.417,116144900000.0,0.0,0.1561816,-29.11718,2.795417,393752900.0,0.2993552,-26.86439,0.07852952,33.53509385851441
260000,2.429,518800000000.0,0.0,0.09029691,56.21565,2.156404,4478330000.0,0.3905085,18.69259,0.1118572,57.48112622374931
260100,2.442,494310700000.0,0.0,0.3103742,136.233,8.4645,4703263000.0,0.2334276,109.9904,0.1053767,92.7179661769204
260200,2.456,133352100000.0,0.0,0.1803016,-106.5103,4.070592,463592600.0,0.2495882,-108.422,0.09357996,43.15311163134393
260300,2.468,111429500000.0,0.0,0.3341687,50.75419,5.614028,392504600.0,0.1859359,-5.006512,0.08197986,46.37190790884903
260400,2.48,170215900000.0,0.0,0.1922804,61.33857,3.932587,432828900.0,0.2749565,44.38397,0.08516844,43.14393502838728
260500,2.493,201372400000.0,0.0,0.08688851,-80.77685,2.517062,993863400.0,0.3006123,-84.42689,0.06797376,38.873837941251765
260600,2.506,100693200000.0,0.0,0.2587171,-14.17944,8.657799,190002700.0,0.179748,-9.410682,0.07620649,54.70295653606056
260700,2.519,168267400000.0,0.0,0.2744264,-74.92282,3.806559,734164300.0,0.1834826,-106.773,0.06903439,42.203361076270006
260800,2.532,157036300000.0,0.0,0.1645143,126.8412,4.901433,465699600.0,0.2219769,148.7103,0.0655956,44.23439641480582
260900,2.545,141579400000.0,0.0,0.2737131,-166.0935,4.449631,752611700.0,0.5127695,-125.9631,0.06225965,43.25209382013614
261000,2.558,131522500000.0,0.0,0.2338355,-146.3474,3.041598,308374300.0,0.5676985,-149.696,0.09499976,38.03304291710226
261100,2.571,136458300000.0,0.0,0.4923014,-135.6821,4.283344,457291600.0,0.3165009,-122.5443,0.09894799,46.099149131647295
261200,2.584,859013500000.0,0.0,0.3283848,65.94091,2.948875,8636771000.0,0.08589461,84.97985,0.09686058,78.56064010296305
261300,2.598,133967700000.0,0.0,0.3094727,-24.1836,5.470997,435365900.0,0.1640247,-39.7427,0.09687182,51.38938139667428
261400,2.612,111173200000.0,0.0,0.2963756,65.38819,8.837105,352848600.0,0.4836771,18.35172,0.04677244,50.61541055689275
