ID,RAJ2000,DEJ2000,R,PMem,Pfree,tLum,tRad,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zspec,ObjID
79,72.14898805555555,-51.70414305555555,0.02,0.979,1.0,1.0000000000000002,1.0000000000000002,22.5121,0.0303,21.0306,0.0104,20.5228,0.0116,20.2467,0.0171,,2933298938
79,72.12544499999998,-51.703983888888885,0.211,0.571,1.0,1.0000000000000002,1.0000000000000002,22.7648,0.0425,21.4697,0.0176,20.9739,0.0195,20.6104,0.0288,,2933298963
79,72.1403161111111,-51.70287194444444,0.092,0.979,1.0,1.0000000000000002,1.0000000000000002,22.624,0.0341,20.936,0.0099,20.3566,0.01,20.039,0.0155,,2933299028
79,72.15356499999999,-51.70273611111111,0.034,0.088,1.0,1.0000000000000002,1.0000000000000002,22.0323,0.0585,20.9841,0.0296,20.5479,0.0345,20.3198,0.0581,,2933299096
79,72.1459161111111,-51.70516388888888,0.043,0.973,1.0,1.0000000000000002,1.0000000000000002,21.8371,0.0296,20.1188,0.0081,19.583,0.0089,19.2861,0.013,,2933299177
79,72.16427999999999,-51.699456944444435,0.129,0.98,1.0,1.0000000000000002,1.0000000000000002,23.0939,0.0448,21.3664,0.0122,20.7995,0.0135,20.4713,0.0219,,2933300339
79,72.15116111111111,-51.70481805555555,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,19.8775,0.0087,18.3292,0.0028,17.7738,0.003,17.4671,0.0043,,2933300414
79,72.12532305555554,-51.698586944444436,0.227,0.94,1.0,1.0000000000000002,1.0000000000000002,22.1268,0.0253,20.4549,0.0073,19.8768,0.0082,19.5582,0.0129,,2933300588
79,72.141105,-51.75340388888888,0.647,0.871,1.0,0.9800020000000002,0.9999880000000001,23.2198,0.0437,21.6152,0.0134,21.0735,0.0157,20.7447,0.0217,,2934013613
79,72.10315388888888,-51.74739111111111,0.686,0.796,1.0,1.0000000000000002,0.9997140000000001,22.7608,0.0332,21.143,0.01,20.6411,0.0126,20.3396,0.0181,,2934015422
132,83.2967961111111,-57.906771111111105,0.924,0.429,1.0,1.0000000000000002,0.11802800000000001,24.0833,0.1397,22.4647,0.0392,21.44,0.0273,21.104,0.0424,,2943148414
132,83.28712805555554,-57.90537305555555,0.849,0.125,1.0,0.9999710000000002,0.6290870000000001,24.4952,0.1621,23.2133,0.0607,22.4466,0.0531,22.1264,0.0852,,2943148470
132,83.28595194444443,-57.90514388888888,0.839,0.046,1.0,1.0000000000000002,0.70042,23.0582,0.0716,22.1087,0.0364,21.2101,0.0282,20.8661,0.0443,,2943148562
132,83.26223388888887,-57.90370805555555,0.716,0.188,1.0,1.0000000000000002,0.9985410000000001,24.1438,0.1242,23.047,0.0546,22.0932,0.0372,21.8321,0.061,,2943148627
132,83.23936388888887,-57.903079999999996,0.674,0.373,1.0,1.0000000000000002,0.9999360000000002,24.7821,0.2568,22.5491,0.0366,21.5206,0.0264,20.9805,0.0352,,2943148678
132,83.29055388888888,-57.904534999999996,0.855,0.59,1.0,1.0000000000000002,0.5842640000000001,23.5064,0.0979,21.5104,0.0191,20.2962,0.011,19.7927,0.0149,,2943148692
132,83.29180499999998,-57.90306999999999,0.84,0.498,1.0,0.9970070000000001,0.6950640000000001,26.559,1.0816,23.8986,0.1158,22.7831,0.0749,22.2044,0.0963,,2943148711
132,83.24705694444444,-57.90250694444444,0.665,0.06,1.0,0.9966780000000001,0.9999680000000001,24.1763,0.1954,23.1364,0.0835,22.4543,0.083,22.1138,0.1309,,2943148781
132,83.28507694444443,-57.901039999999995,0.77,0.589,1.0,1.0000000000000002,0.9712640000000001,24.5644,0.1951,23.0096,0.058,21.9303,0.0361,21.5816,0.0564,,2943148873
132,83.25914999999999,-57.90040499999999,0.649,0.703,1.0,1.0000000000000002,0.9999920000000001,23.6213,0.1185,22.1597,0.038,21.1623,0.0237,20.7313,0.0327,,2943148969
132,83.2249311111111,-57.89512499999999,0.549,0.741,1.0,1.0000000000000002,1.0000000000000002,24.1831,0.1924,22.4966,0.0441,21.3238,0.0276,20.9141,0.0429,,2943149441
132,83.2936461111111,-57.9004461111111,0.813,0.075,1.0,1.0000000000000002,0.8536450000000001,23.0933,0.0609,21.632,0.0197,20.8488,0.0161,20.4932,0.0249,,2943149009
132,83.31144694444443,-57.89842611111111,0.911,0.448,1.0,1.0000000000000002,0.182379,24.4622,0.1688,23.1173,0.0581,22.1096,0.0418,21.7836,0.0685,,2943149105
132,83.27781194444444,-57.89623194444444,0.656,0.107,1.0,0.9920730000000001,0.9999860000000002,24.4939,0.2017,23.3089,0.0817,22.6208,0.0692,22.2234,0.1018,,2943149288
132,83.24387305555554,-57.892514999999996,0.478,0.816,1.0,1.0000000000000002,1.0000000000000002,25.0308,0.2704,23.2547,0.0587,22.064,0.0329,21.5734,0.0484,,2943149604
132,83.2726161111111,-57.890696111111104,0.542,0.082,1.0,0.838748,1.0000000000000002,24.3825,0.2024,23.466,0.1052,22.7527,0.0757,22.3512,0.1192,,2943149777
132,83.26792388888887,-57.888773888888885,0.486,0.032,1.0,0.9996320000000001,1.0000000000000002,24.4125,0.2463,23.876,0.1787,22.8222,0.0992,22.0815,0.1148,,2943149973
132,83.24299194444443,-57.88832805555555,0.399,0.873,1.0,1.0000000000000002,1.0000000000000002,24.0609,0.1647,22.3656,0.0373,21.3001,0.022,20.8374,0.0329,,2943149981
132,83.26043194444443,-57.887966944444436,0.436,0.715,1.0,1.0000000000000002,1.0000000000000002,24.6498,0.3157,23.0799,0.0885,22.2093,0.0586,21.6677,0.0814,,2943150016
132,83.31032194444444,-57.887511944444434,0.785,0.575,1.0,0.9999790000000001,0.9451450000000001,24.8384,0.2404,23.484,0.0831,22.5295,0.0583,22.0855,0.0937,,2943150081
132,83.2461011111111,-57.887069999999994,0.379,0.855,1.0,1.0000000000000002,1.0000000000000002,24.6619,0.3014,22.7129,0.054,21.526,0.0285,21.0,0.0402,,2943150150
132,83.24117499999998,-57.88522999999999,0.341,0.719,1.0,1.0000000000000002,1.0000000000000002,24.9664,0.3525,22.582,0.043,21.3386,0.0213,20.861,0.0313,,2943150254
132,83.30017194444443,-57.88491499999999,0.674,0.737,1.0,1.0000000000000002,0.9999340000000001,25.113,0.2734,23.359,0.0655,22.2877,0.0411,21.8193,0.064,,2943150313
132,83.26909694444443,-57.88242305555555,0.4,0.166,1.0,1.0000000000000002,1.0000000000000002,23.5351,0.0999,22.2772,0.0379,21.485,0.0298,21.0322,0.0429,,2943150523
132,83.3110261111111,-57.882393055555546,0.75,0.475,1.0,1.0000000000000002,0.9895030000000001,24.5808,0.1474,23.4293,0.062,22.4146,0.0447,21.9748,0.0691,,2943150527
132,83.26332805555555,-57.881826944444434,0.354,0.41,1.0,1.0000000000000002,1.0000000000000002,24.6388,0.2472,22.9034,0.0604,22.1065,0.0467,21.8,0.078,,2943150565
132,83.273355,-57.88094388888888,0.413,0.648,1.0,1.0000000000000002,1.0000000000000002,26.095,0.7314,23.4088,0.075,22.1151,0.0363,21.6017,0.0508,,2943150640
132,83.24869694444443,-57.879748055555545,0.251,0.859,1.0,1.0000000000000002,1.0000000000000002,26.9298,1.5767,23.5465,0.0805,22.2989,0.0429,21.8189,0.063,,2943150724
132,83.2504711111111,-57.8786411111111,0.237,0.901,1.0,0.9999800000000001,1.0000000000000002,26.4164,1.1332,23.6892,0.1072,22.5472,0.0606,22.0934,0.0914,,2943150804
132,83.24554805555555,-57.87937888888888,0.236,0.798,1.0,1.0000000000000002,1.0000000000000002,24.7933,0.3745,22.1679,0.0372,21.0161,0.0215,20.4749,0.03,,2943150827
132,83.30061694444443,-57.87875388888888,0.629,0.103,1.0,1.0000000000000002,0.9999990000000001,23.9792,0.1276,22.7948,0.0496,22.0513,0.0459,21.6817,0.0757,,2943150850
132,83.31655388888888,-57.8764961111111,0.768,0.032,1.0,1.0000000000000002,0.9740900000000001,23.7433,0.087,22.4784,0.033,21.7522,0.0293,21.4396,0.051,,2943151032
132,83.25523999999999,-57.875766944444436,0.216,0.896,1.0,1.0000000000000002,1.0000000000000002,24.1719,0.1758,22.3206,0.04,21.3392,0.0253,20.8535,0.0376,,2943151094
132,83.28143305555554,-57.87567388888888,0.431,0.141,1.0,1.0000000000000002,1.0000000000000002,23.4174,0.068,22.0856,0.0251,20.9947,0.0149,20.4417,0.0201,,2943151095
132,83.26342805555555,-57.873413055555545,0.252,0.885,1.0,1.0000000000000002,1.0000000000000002,25.2859,0.3954,23.4174,0.0856,22.2637,0.0488,21.9073,0.077,,2943151282
132,83.27334305555554,-57.87378388888888,0.344,0.131,1.0,1.0000000000000002,1.0000000000000002,23.8796,0.1598,22.0277,0.035,21.1116,0.0248,20.5363,0.0319,,2943151405
132,83.27421194444443,-57.87202388888888,0.341,0.795,1.0,1.0000000000000002,1.0000000000000002,24.7458,0.1968,23.5244,0.0776,22.5303,0.0519,22.0325,0.073,,2943151438
132,83.28533194444444,-57.8718661111111,0.447,0.712,1.0,1.0000000000000002,1.0000000000000002,24.096,0.1234,22.0165,0.0223,20.9152,0.0141,20.4749,0.0209,,2943151518
132,83.33234499999999,-57.864796944444436,0.904,0.449,1.0,1.0000000000000002,0.217236,24.2949,0.1357,22.7176,0.0369,21.4785,0.0202,20.9457,0.0307,,2943152151
132,83.16868,-57.861779999999996,0.724,0.492,1.0,1.0000000000000002,0.9976640000000001,24.8141,0.2412,22.7024,0.0421,21.7103,0.0283,21.2664,0.0444,,2943089334
132,83.16670194444444,-57.85397194444444,0.775,0.076,1.0,0.7681570000000001,0.9636830000000001,24.6458,0.1954,23.6151,0.0873,22.901,0.08,22.3832,0.1172,,2943090013
132,83.15916305555554,-57.85296805555555,0.852,0.14,1.0,0.9891720000000002,0.6021160000000001,25.7854,0.5266,24.3956,0.1697,22.9583,0.0793,22.2446,0.0978,,2943090100
132,83.19954499999999,-57.88618499999999,0.546,0.486,1.0,0.9913790000000001,1.0000000000000002,27.24,2.2464,23.8438,0.1137,22.9268,0.079,22.2336,0.0989,,2943150153
132,83.19446888888888,-57.882371111111105,0.544,0.022,1.0,1.0000000000000002,1.0000000000000002,23.3012,0.076,22.4555,0.0406,21.6068,0.0322,21.321,0.0566,,2943150502
132,83.19857888888887,-57.87913111111111,0.479,0.715,1.0,1.0000000000000002,1.0000000000000002,24.1325,0.1591,22.8422,0.0558,21.8913,0.0408,21.4642,0.063,,2943150749
132,83.19673388888887,-57.871558055555546,0.448,0.409,1.0,1.0000000000000002,1.0000000000000002,24.7148,0.173,22.9561,0.0418,22.1237,0.0316,21.7258,0.0484,,2943151444
132,83.21258694444444,-57.86644888888888,0.283,0.077,1.0,1.0000000000000002,1.0000000000000002,23.8019,0.0944,22.7743,0.0446,22.0457,0.0398,21.7648,0.0715,,2943151952
132,83.20471805555555,-57.864703055555545,0.363,0.179,1.0,1.0000000000000002,1.0000000000000002,23.728,0.0919,22.133,0.0251,21.3442,0.0212,20.9232,0.0335,,2943152156
132,83.20615194444443,-57.85811694444444,0.383,0.112,1.0,1.0000000000000002,1.0000000000000002,22.5185,0.0326,21.4064,0.0136,20.6046,0.0113,20.2737,0.0198,,2943152733
132,83.17711805555554,-57.8558161111111,0.667,0.067,1.0,1.0000000000000002,0.9999640000000001,23.9805,0.14,22.7938,0.0536,22.0496,0.0477,21.5539,0.0714,,2943152812
132,83.19905194444443,-57.85385888888888,0.482,0.824,1.0,1.0000000000000002,1.0000000000000002,24.4777,0.1866,22.5896,0.038,21.471,0.0238,21.0263,0.0376,,2943152991
132,83.1891561111111,-57.84261888888888,0.685,0.358,1.0,0.9247280000000001,0.9998410000000001,26.539,1.2508,24.3039,0.1843,23.0489,0.0979,22.3079,0.1121,,2943153933
132,83.190665,-57.83778694444444,0.737,0.042,1.0,0.6932960000000001,0.9947000000000001,27.0041,1.7137,24.8403,0.2759,23.2983,0.1127,22.4098,0.1173,,2943154387
132,83.21896694444443,-57.8308511111111,0.706,0.06,1.0,1.0000000000000002,0.9992610000000001,24.2084,0.1241,23.312,0.0652,22.169,0.0418,21.6611,0.0631,,2943154970
132,83.21326305555554,-57.82128805555555,0.893,0.043,1.0,1.0000000000000002,0.28863800000000006,23.3627,0.0546,22.2116,0.0231,21.4178,0.0201,21.0439,0.0351,,2943155831
132,83.23629388888888,-57.87960388888888,0.241,0.831,1.0,1.0000000000000002,1.0000000000000002,24.5063,0.1824,23.3252,0.0682,22.4041,0.049,22.0054,0.0777,,2943150730
132,83.23982388888888,-57.879461111111105,0.234,0.898,1.0,1.0000000000000002,1.0000000000000002,25.8569,0.6941,23.4895,0.0874,22.3209,0.05,21.8969,0.0776,,2943150741
132,83.23899694444444,-57.87636305555555,0.177,0.921,1.0,1.0000000000000002,1.0000000000000002,25.5367,0.4258,23.6235,0.0874,22.4131,0.0447,22.013,0.0709,,2943151016
132,83.2468911111111,-57.87633194444444,0.185,0.937,1.0,0.9961650000000001,1.0000000000000002,26.7014,1.5002,23.6938,0.1147,22.6612,0.0692,22.1944,0.103,,2943151025
132,83.24809499999999,-57.87507694444444,0.167,0.947,1.0,1.0000000000000002,1.0000000000000002,24.5026,0.2155,22.7903,0.0532,21.6999,0.0309,21.1601,0.0423,,2943151117
132,83.24304694444443,-57.87425999999999,0.138,0.901,1.0,1.0000000000000002,1.0000000000000002,23.357,0.1239,21.8809,0.0378,21.0023,0.0274,20.5903,0.0415,,2943151258
132,83.2388261111111,-57.87158694444444,0.09,0.96,1.0,1.0000000000000002,1.0000000000000002,24.9321,0.289,23.1606,0.0681,22.0447,0.039,21.4662,0.0518,,2943151460
132,83.24343805555554,-57.869048055555545,0.046,0.954,1.0,1.0000000000000002,1.0000000000000002,24.1829,0.1719,22.3475,0.0378,21.1285,0.0209,20.5535,0.0289,,2943151747
132,83.2411211111111,-57.866904999999996,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,23.4323,0.0955,21.6171,0.0219,20.4329,0.0117,19.9149,0.0172,,2943152048
132,83.23558694444444,-57.865514999999995,0.061,0.975,1.0,1.0000000000000002,1.0000000000000002,24.4925,0.1821,22.5601,0.0357,21.4591,0.0212,20.9655,0.0329,,2943152058
132,83.24874499999999,-57.864953888888884,0.084,0.96,1.0,1.0000000000000002,1.0000000000000002,23.3079,0.0811,21.8675,0.0243,20.8528,0.0151,20.3981,0.0248,,2943152189
132,83.24285305555554,-57.86400888888888,0.057,0.975,1.0,1.0000000000000002,1.0000000000000002,24.165,0.1732,22.3005,0.0371,21.186,0.0203,20.7479,0.0325,,2943152201
